name,website,description,phone,email,whatsapp,social_media,address,city,state,country,zip_code,latitude,longitude,working_hours,services,materials_accepted,pricing_info,certifications,years_in_business,languages,payment_methods,additional_services,search_query,search_page,source,data_completeness,scraped_at
"ᐉ Scrap Metal Yards and Dealers in [acf field='city'] – Prices, Locations",https://metalrecap.com/chicago-il/,Scrap Metal Yards and Dealers in Chicago. Where to Sell Scrap for a High Price: ✓ Locations ✓ PRICES per lb ✓ Business Hours ☎ Phone Numbers.,(773) 721-1100,admin-contacted@proton.me,,,9331 S Ewing Ave,Chicago,Illinois,United States,60617,,,,"['pickup', 'collection', 'demolition', 'dismantling', 'processing', 'commercial']","['copper', 'aluminum', 'steel', 'iron', 'brass', 'bronze', 'stainless steel', 'lead', 'zinc', 'nickel', 'tin', 'titanium', 'carbide', 'tungsten', 'car batteries', 'radiators', 'electric motors', 'transformers', 'wire', 'cable', 'cast iron', 'turnings']","['copper/""><img src=""/wp-content/uploads/2024/05/2024-05-28-13-33-54-1-150x150.png"" style=""height: 30px; border-radius: 5px; margin-right: 10px; vertical-align: middle;""> #1 Copper</a></div><div>$3.62', 'copper/""><img src=""/wp-content/uploads/2024/05/2-copper-1-150x150.png"" style=""height: 30px; border-radius: 5px; margin-right: 10px; vertical-align: middle;""> #2 Copper</a></div><div>$3.38', 'aluminum/""><img src=""/wp-content/uploads/2024/05/cast-aluminum-150x150.png"" style=""height: 30px; border-radius: 5px; margin-right: 10px; vertical-align: middle;""> Cast Aluminum</a></div><div>$0.51', 'brass/""><img src=""/wp-content/uploads/2024/05/red-brass-scrap-150x150.png"" style=""height: 30px; border-radius: 5px; margin-right: 10px; vertical-align: middle;""> Red Brass</a></div><div>$2.63', 'brass/""><img src=""/wp-content/uploads/2024/05/yellow-brass-scrap-150x150.png"" style=""height: 30px; border-radius: 5px; margin-right: 10px; vertical-align: middle;""> Yellow Brass</a></div><div>$2.15']",,,""":""en-US""},{""@type"":""ImageObject"",""inLanguage"":""en",['check'],,scrap metal dealers Chicago IL,2,Bing,91,2025-07-12T00:39:21.019087
ᐉ [acf field='name'],https://metalrecap.com/t-z-metals-inc-chicago/,"Company T & Z Metals Inc. - Scrap Metal Yard and Dealer at 4009 W Parker Ave, Chicago. Where to Sell Scrap for a High Price: ✓ PRICES per lb ✓ Business Hours ☎ Phone Numbers.",(773) 799-8945,admin-contacted@proton.me,,,4009 W Parker Ave,Chicago,Illinois,United States,60639,,,,"['collection', 'processing']","['copper', 'aluminum', 'steel', 'iron', 'brass', 'stainless steel', 'lead', 'zinc', 'nickel', 'tin', 'titanium', 'carbide', 'tungsten', 'car batteries', 'radiators', 'electric motors', 'transformers', 'wire', 'cable', 'cast iron', 'turnings']","['copper/""><img src=""/wp-content/uploads/2024/05/2024-05-28-13-33-54-1-150x150.png"" style=""height: 30px; border-radius: 5px; margin-right: 10px; vertical-align: middle;""> #1 Copper</a></div><div>$3.62', 'copper/""><img src=""/wp-content/uploads/2024/05/2-copper-1-150x150.png"" style=""height: 30px; border-radius: 5px; margin-right: 10px; vertical-align: middle;""> #2 Copper</a></div><div>$3.38', 'aluminum/""><img src=""/wp-content/uploads/2024/05/cast-aluminum-150x150.png"" style=""height: 30px; border-radius: 5px; margin-right: 10px; vertical-align: middle;""> Cast Aluminum</a></div><div>$0.51', 'brass/""><img src=""/wp-content/uploads/2024/05/red-brass-scrap-150x150.png"" style=""height: 30px; border-radius: 5px; margin-right: 10px; vertical-align: middle;""> Red Brass</a></div><div>$2.63', 'brass/""><img src=""/wp-content/uploads/2024/05/yellow-brass-scrap-150x150.png"" style=""height: 30px; border-radius: 5px; margin-right: 10px; vertical-align: middle;""> Yellow Brass</a></div><div>$2.15']",,,""":""en-US"",""potentialAction"":[{""@type"":""ReadAction""",,,scrap metal dealers Chicago IL,4,Bing,91,2025-07-12T00:39:24.916298
Used Auto Parts,https://allamericanautosalvage.com/auto-salvage-vehicle-scrap-junk-yard/,Looking for a reliable vehicle scrap junk yard in the New York City area? All American Auto Salvage is stocked with a wide variety of used auto parts for just about any make and model of vehicle. All of our parts are tested for quality. Click now for details!,(732) 574-1945,king.george.auto@gmail.com,,{'facebook': 'facebook.com/AllAmericanAutoSalvage'},"192 Leesville Ave, Rahway, NJ, 07065",,,United States,,,,Monday:8:00 am-5:00 pmTuesday:8:00 am-5:00 pmWednesday:8:00 am-5:00 pmThursday:8:00 am-5:00 pmFriday:8:00 am-5:00 pmSaturday:9:00 am-3:00 pmSunday:Closed,['processing'],"['tin', 'silver']",,,1983,""":""en-US"",""potentialAction"":[{""@type"":""ReadAction""",['check'],,scrap yard New York NY,3,Bing,83,2025-07-12T00:39:02.460765
CNY Resource Recovery North,https://www.cnyresourcerecoverynorth.com/,"CNY Resource Recovery North in Adams Center, NY, is an expert metal recycling company that offers competitive prices. Call 315-583-5554 for more information.",(315) 583-5554,cnyresourcerecovery@yahoo.com,,,"12521 US-11, Adams Center, NY, 13606",,,United States,,,,,['collection'],"['copper', 'aluminum', 'brass', 'lead', 'zinc', 'nickel', 'tin', 'titanium', 'silver']",,,,"'en',
        currentLocale: 'en',
        NavItem","['cash', 'check', 'terms']",,metal recycling center New York NY,3,Bing,75,2025-07-12T00:38:59.768641
General Metal Recycling Co.,https://www.gmrecycling.com/,"General Metal Recycling Co. in Montebello, CA, has your ferrous and nonferrous metal recycling needs covered. Call us at 323-722-9995 today.",(323) 722-9995,info@gmrecycling.com,,,"1505 Washington Blvd, Montebello, CA, 90640",,,United States,,,,,"['collection', 'processing', 'commercial']","['copper', 'aluminum', 'steel', 'iron', 'brass', 'stainless steel', 'tin', 'silver', 'radiators', 'wire']",,,1952,"'en',
        currentLocale: 'en',
        NavItem","['check', 'terms']","['offer a public recycling facility, using advanced technology to sort, shred, and process metal waste into reusable materials']",metal recycling center Los Angeles CA,2,Bing,75,2025-07-12T00:39:07.839829
Bridgeport Metals,https://www.recyclingmonster.com/recycling-center/bridgeport-metals/53367,"Bridgeport Metals, Recycling Center at Bridgeport Metals, 3850 S Racine Ave, Chicago, Illinois, United States - Open hours, accepting materials, scrap prices, phone number and location address",(312) 722-6880,info@bridgeportmetals.com,,"{'facebook': 'facebook.com/RecyclingMonstercom', 'twitter': 'twitter.com/recyclingmonstr""', 'instagram': 'instagram.com/recyclingmonster', 'youtube': 'youtube.com/@RecyclingMonster_com""'}","Bridgeport Metals, Chicago, Illinois, 60609",,,United States,,,,,['processing'],"['copper', 'aluminum', 'steel', 'iron', 'tin']",,,,"=""javascript"">$(document)","['cash', 'check', 'terms']",,metal recycling center Chicago IL,5,Bing,75,2025-07-12T00:39:27.329850
"Junkyards in Chicago, Illinois",https://junkcarsus.com/salvage-yards/chicago-il,Find top car scrap yards in Chicago with JunkCarsUs! ✅ Get the best auto recyclers and auto wreckers without the hassle.,(773) 722-1882,support@junkcarsus.com,,,,,Illinois,United States,,,,,"['pickup', 'dismantling', 'processing', 'cash payment', 'commercial', 'same day', 'environmental']","['iron', 'tin']",,,,"=""company_phone_1"">
                    <span clas","['cash', 'check']",,junk yard auto parts Chicago IL,3,Bing,75,2025-07-12T00:39:34.054147
MET Metals,https://www.recyclingmonster.com/recycling-center/met-metals-queensny/33093,"MET Metals-Queens,NY, Recycling Center at 119-06 28th Ave College Point, Queens, New York, United States - Open hours, accepting materials, scrap prices, phone number and location address",(718) 899-4400,metmetalsny@gmail.com,,"{'facebook': 'facebook.com/RecyclingMonstercom', 'twitter': 'twitter.com/recyclingmonstr""', 'instagram': 'instagram.com/recyclingmonster', 'youtube': 'youtube.com/@RecyclingMonster_com""'}","119-06 28th Ave College Point, Queens, New York, 11354",,,United States,,,,,,"['copper', 'aluminum', 'steel', 'iron', 'brass', 'lead', 'tin']",,,,"=""javascript"">$(document)","['cash', 'check', 'terms']",,metal recycling center New York NY,2,Bing,66,2025-07-12T00:38:59.837701
"Transforming Scrap into Treasures, Unlocking Value",https://www.canosrecycling.com/,"Explore a journey of over 20 years of expertise, transforming materials with innovation. Discover the essence of responsible material handling with our unique services.",(845) 331-7600,info@canosrecycling.com,,"{'facebook': 'facebook.com/canosrec2018', 'instagram': 'instagram.com/canosrecycling'}",,,,United States,,,,,"['commercial', 'licensed', 'environmental']","['iron', 'lead', 'tin', 'gold']",,['Licensed under'],,"ONLY-->      <meta name=""viewport"" content=""width=","['cash', 'check']",,metal recycling center New York NY,2,Bing,66,2025-07-12T00:39:00.313828
Shulman Co Inc,https://www.recyclingmonster.com/recycling-center/shulman-co-inc/12672,"Shulman Co Inc, Recycling Center at 197 E Washington Ave,  Elmira, New York, United States - Open hours, accepting materials, scrap prices, phone number and location address",(607) 733-7111,info@shulmancompany.com,,"{'facebook': 'facebook.com/RecyclingMonstercom', 'twitter': 'twitter.com/recyclingmonstr""', 'instagram': 'instagram.com/recyclingmonster', 'youtube': 'youtube.com/@RecyclingMonster_com""'}","197 E Washington Ave,  Elmira, New York, 14901",,,United States,,,,,,"['copper', 'aluminum', 'steel', 'brass', 'tin', 'radiators', 'electric motors', 'transformers', 'wire']",,,,"=""javascript"">$(document)","['cash', 'check', 'terms']",,metal recycling center New York NY,3,Bing,66,2025-07-12T00:39:00.605172
