name,phone,email,website,address,city,state,country,materials_accepted,data_completeness,source,scraped_at
MET Metals,(363) 586-9624,metmetalsny@gmail.com,https://www.recyclingmonster.com/recycling-center/met-metals-queensny/33093,06 28th Ave College Point,,,United States,"['copper', 'aluminum', 'steel', 'iron', 'brass', 'scrap metal']",100,Bing,2025-07-12T00:44:24.735547
Metal Waste,(315) 583-5554,cnyresourcerecovery@yahoo.com,https://www.cnyresourcerecoverynorth.com/,"3 standard"">",Adams Center,NY,United States,"['copper', 'aluminum', 'brass', 'scrap metal']",100,Bing,2025-07-12T00:44:24.974507
"Transforming Scrap into Treasures, Unlocking Value",(845) 331-7600,info@canosrecycling.com,https://www.canosrecycling.com/,,Saugerties,NY,United States,['iron'],100,Bing,2025-07-12T00:44:25.197272
Shulman Co Inc,(363) 586-9624,info@shulmancompany.com,https://www.recyclingmonster.com/recycling-center/shulman-co-inc/12672,197 E Washington Ave,,,United States,"['copper', 'aluminum', 'steel', 'brass', 'scrap metal']",100,Bing,2025-07-12T00:44:25.255281
Longhorn Recycling,(210) 661-2341,user@domain.com,https://www.longhornrecycling.com/,"2 Standard""",San Antonio,TX,United States,"['copper', 'aluminum', 'steel', 'iron', 'brass']",100,Bing,2025-07-12T00:44:29.511410
Texas Copper Wire Buyer,(281) 508-0291,info@internationalrec.com,https://www.internationalrec.com/texas-copper-wire-buyer/,"12412 Market st Rd </br>",,TX,United States,"['copper', 'aluminum', 'steel', 'brass', 'scrap metal']",100,Bing,2025-07-12T00:44:34.804571
San Jose Brass Recycling,(408) 292-3333,your@email.com,https://www.ranchtownrecycling.com/brass,"3 standard"">",Lincoln Ave San Jose,CA,United States,"['copper', 'aluminum', 'steel', 'iron', 'brass']",100,Bing,2025-07-12T00:44:36.827189
Scrap Metal,(408) 535-3500,SJEnvironment@sanjoseca.gov,https://sanjoserecycles.org/guide/scrap-metal/,19 test kits at-home covid-19 testing kits at-home covid-19 tests covid antigen test kits covid antigen tests covid at-home test kits covid at-home te,,CA,United States,"['copper', 'aluminum', 'steel', 'iron', 'brass', 'scrap metal']",100,Bing,2025-07-12T00:44:37.272076
"Shorty's Free Metal Pick Up and More, San Jose, CA 95112, US",(408) 420-3447,help@mapquest.com,https://www.mapquest.com/us/california/shortys-free-metal-pick-up-and-more-377009095,"4235 Redwood Ave.""",San Jose,CA,United States,"['iron', 'scrap metal']",100,Bing,2025-07-12T00:44:37.451352
SA Recycling Columbus,(214) 748-3647,inquiries.Columbus-Brennan@sarecycling.com,https://www.sarecycling.com/yard/sa-recycling-columbus/,"2092 yard type-yard status-publish format-standard hentry"">",Columbus,GA,United States,"['copper', 'aluminum', 'steel', 'iron', 'brass', 'scrap metal']",100,Bing,2025-07-12T00:44:50.313299
metal,(999) 999-9999,franksscrapmetal@hotmail.com,https://www.franksscrapmetal.com/metal-recycling,"3 standard"">",Silver Springs,MD,United States,"['copper', 'aluminum', 'steel', 'iron', 'brass', 'scrap metal']",100,Bing,2025-07-12T00:44:53.850316
"Recycle Metal – Denver, CO – JDog Junk Removal & Hauling",(720) 549-0911,centennial@jdog.com,https://www.jdogsouthdenver.com/metal-recycling,"3 standard"">",,,United States,"['iron', 'scrap metal']",100,Bing,2025-07-12T00:44:56.461441
Aurora,(303) 367-0822,aurora@atlasmetal.com,https://www.atlasmetalandiron.com/aurora/,2601 Chambers Road,Aurora,CO,United States,"['copper', 'aluminum', 'steel', 'iron', 'brass']",100,Bing,2025-07-12T00:44:57.183532
"Scrap Metal Pickup in Englewood, CO",(888) 888-5865,vue@3.5.13.vue.global.prod.js||,https://www.junk-king.com/locations/denver-south/scrap-metal-pickup,,Evergreen,CO,United States,"['copper', 'aluminum', 'steel', 'iron', 'brass', 'scrap metal']",100,Bing,2025-07-12T00:44:58.313173
Metalprices are the highest they've been in years!,(393) 375-8609,joep@empirerecycling.com,https://www.empirerecycling.com/syracuse/,301 Peat Street,,,United States,"['copper', 'aluminum', 'steel', 'brass', 'scrap metal']",90,Bing,2025-07-12T00:44:25.740037
Great Northwest Recycling,(210) 523-8155,info@gnwrecycling.com,https://www.gnwrecycling.com/,7386 GRISSOM ROAD <br>SAN ANTONIO,SAN ANTONIO,TX,United States,"['copper', 'aluminum', 'steel', 'iron', 'brass', 'scrap metal']",90,Bing,2025-07-12T00:44:32.722114
Current Scrap Metal Pricing,(716) 823-3788,,https://www.metalicobuffalo.com/current-prices,"127 Fillmore Ave""",Buffalo,NY,United States,"['copper', 'aluminum', 'steel', 'iron', 'brass', 'scrap metal']",70,Bing,2025-07-12T00:44:25.421005
Long Island Scrap Metal Buyers,(855) 437-7469,,https://www.gershow.com/buyers-of-scrap-metal-nassau-suffolk-new-york/,"2011 John Davenport Scheuer
   as first seen in https://www.dynamicdrive.com/forums/",,,United States,"['copper', 'aluminum', 'steel', 'iron', 'brass', 'scrap metal']",70,Bing,2025-07-12T00:44:25.731259
North Shore Recycling,(516) 623-4521,,https://www.nsrecycling.com/about-us/,20 to 40 yard containers.</span>				</div>,Merrick RD Freeport,NY,United States,"['copper', 'aluminum', 'steel', 'iron', 'brass', 'scrap metal']",70,Bing,2025-07-12T00:44:27.064457
Scrap Metal Buying,(701) 355-5853,,https://www.ashleysteelandsalvage.com/scrap-metal,"3 standard"">",,,United States,"['copper', 'aluminum', 'steel', 'iron', 'brass', 'scrap metal']",70,Bing,2025-07-12T00:44:32.874866
"College HUNKS Hauling Junk™ in San Jose, CA",(833) 626-1326,,https://www.collegehunkshaulingjunk.com/san-jose/,"1400 Coleman Ave. Suite H-18""",Santa Clara,CA,United States,"['iron', 'scrap metal']",70,Bing,2025-07-12T00:44:38.118416
Instructions — Danny Recycling Inc,(408) 492-9033,,https://www.dannyrecyclinginc.com/services,"2 Standard""",Santa Clara,CA,United States,"['copper', 'aluminum']",70,Bing,2025-07-12T00:44:38.371648
Denver’s Same,(214) 748-3647,,https://www.1800gotjunk.com/us_en/locations/junk-removal-denver/us04031/scrap-metal-recycling,,,,United States,"['iron', 'scrap metal']",70,Bing,2025-07-12T00:44:57.523005
EmpireRecycling,(422) 555-5556,,https://www.empirerecycling.com/,64 North Genesee Street,Utica,NY,United States,"['copper', 'aluminum', 'steel', 'iron']",60,Bing,2025-07-12T00:44:24.805153
"River City Steel & Recycling, Inc Home",(210) 924-1711,,https://www.recycleinme.com/rim-rivercitystl/home,,,,United States,"['copper', 'aluminum', 'steel', 'iron', 'brass', 'scrap metal']",60,Bing,2025-07-12T00:44:34.477738
