name,address,city,state,zip_code,phone,website,latitude,longitude,shop_type,opening_hours,source,osm_id,scraped_at,metal_types,services,contact_quality,business_type,data_completeness,metals_from_website,services_from_website,pricing_from_website,phone_from_website,email_from_website,hours_from_website
Recycling Drop-Off Center,,,,,,,41.9024101,-87.6552855,recycling,,OpenStreetMap,3992997270,2025-07-03T00:06:40.987012,[],[],1/5,General Recycling,30,,,,,,
Abitibi Paper Retriever,,,,,,,41.9696743,-87.7740326,recycling,,OpenStreetMap,4201176839,2025-07-03T00:06:40.987012,['titanium'],[],1/5,General Recycling,40,,,,,,
flag,,,,,,,42.0136399,-87.7895639,recycling,,OpenStreetMap,12068455437,2025-07-03T00:06:40.987012,[],[],1/5,General Recycling,30,,,,,,
The Salvation Army,,,,,,,41.9231104,-87.6679171,recycling,,OpenStreetMap,12212653147,2025-07-03T00:06:40.987012,"['aluminum', 'titanium']",[],1/5,General Recycling,40,,,,,,
Household Chemicals & Computer Recycling Facility,1140 North North Branch Street,Chicago,IL,60642,,https://www.chicago.gov/city/en/depts/cdph/supp_info/Environment/hccrf.html,41.9024436,-87.655515,recycling,Tu 07:00-12:00; Th 14:00-19:00; Sa[1] 08:00-15:00,OpenStreetMap,47093790,2025-07-03T00:06:40.987012,['aluminum'],[],5/5,Electronic Recycling,80,"['lead', 'aluminum', 'electronic', 'copper', 'nickel', 'automotive', 'wire', 'titanium', 'steel', 'stainless_steel', 'tin']",[],[],312.747.9884,healthychicago@cityofchicago.org,
SIMS Metal Management,2301 South Paulina Street,Chicago,IL,60608,,,41.8501717,-87.6680191,recycling,,OpenStreetMap,209786235,2025-07-03T00:06:40.987012,['aluminum'],[],2/5,General Recycling,70,,,,,,
Republic Recyling Loop Center,2325 South Laflin Street,Chicago,IL,60608,,,41.8493749,-87.6629573,recycling,,OpenStreetMap,209786453,2025-07-03T00:06:40.987012,[],[],2/5,General Recycling,60,,,,,,
Republic Loop Paper Recyling,2411-2427 South Laflin Street,Chicago,IL,60608,,,41.8481619,-87.663044,recycling,,OpenStreetMap,209786543,2025-07-03T00:06:40.987012,[],[],2/5,General Recycling,60,,,,,,
SIMS,2539 South Wood Street,Chicago,IL,60608,,,41.8455955,-87.6702889,recycling,,OpenStreetMap,209786621,2025-07-03T00:06:40.987012,[],[],2/5,General Recycling,60,,,,,,
Bridgeport Metals,,,,,,,41.8250316,-87.6565342,recycling,,OpenStreetMap,411801291,2025-07-03T00:06:40.987012,['aluminum'],[],1/5,General Recycling,40,,,,,,
Recycling Center,,,,,,,41.8762315,-87.8295914,recycling,,OpenStreetMap,449028869,2025-07-03T00:06:40.987012,[],[],1/5,General Recycling,30,,,,,,
Goodwill Donation Center,1214 West 43rd Street,Houston,TX,,,,29.8291659,-95.4304555,recycling,Mo-Su 08:00-18:00,OpenStreetMap,3768401994,2025-07-03T00:06:54.530232,['titanium'],[],2/5,General Recycling,70,,,,,,
Falcon Scrap Metal,10202B Fulton Street,Houston,TX,77076,,,29.8536545,-95.3811818,recycling,,OpenStreetMap,6265708976,2025-07-03T00:06:54.530232,['aluminum'],[],2/5,Scrap Metal Dealer,70,,,,,,
American Recyclers,,,,,,,30.0052154,-95.2553587,recycling,,OpenStreetMap,8542807231,2025-07-03T00:06:54.530232,[],[],1/5,General Recycling,30,,,,,,
Genan,,,,,,,29.8706949,-95.1172332,recycling,"Mo-Fr 08:30-12:00,12:30-17:00",OpenStreetMap,11327623453,2025-07-03T00:06:54.530232,[],[],1/5,General Recycling,30,,,,,,
Goodwill Industries Central Texas,,,,,,,29.7258682,-95.4183044,recycling,,OpenStreetMap,12493916379,2025-07-03T00:06:54.530232,['aluminum'],[],1/5,General Recycling,40,,,,,,
Goodwill West Texas,,,,,,,29.7064991,-95.4164583,recycling,,OpenStreetMap,12818406934,2025-07-03T00:06:54.530232,[],[],1/5,General Recycling,30,,,,,,
Stella Roberts Recycling Center,,,,,,,29.5451264,-95.3099689,recycling,,OpenStreetMap,128315697,2025-07-03T00:06:54.530232,[],[],1/5,General Recycling,30,,,,,,
Westpark Consumer Recycling Center,5900 Westpark Drive,Houston,,,,,29.7249696,-95.4829296,recycling,Mo-Sa 08:00-17:00,OpenStreetMap,317083336,2025-07-03T00:06:54.530232,[],[],2/5,General Recycling,50,,,,,,
Newport Metal Recycling,,,,,,,29.7200952,-95.2870355,recycling,,OpenStreetMap,378862811,2025-07-03T00:06:54.530232,['aluminum'],[],1/5,General Recycling,40,,,,,,
Gulf Coast Strap Metal,8770 Hempstead Road,Houston,TX,77008,+1-713-868-4111,https://www.gulfcoastscrapmetal.com/,29.7888475,-95.4422886,recycling,Mo-Fr 08:00-17:00; Sa 08:00-12:00,OpenStreetMap,579719819,2025-07-03T00:06:54.530232,['aluminum'],[],5/5,General Recycling,90,"['aluminum', 'brass', 'electronic', 'copper', 'nickel', 'wire', 'titanium', 'steel', 'stainless_steel', 'tin']",[],[],713-868-4111,gulfcoastscrapmetal@yahoo.comserving,
C&D Scrap Metal,6775 Bingle Road,Houston,TX,,,,29.8641276,-95.488482,recycling,Mo-Fr 07:30-17:00; Sa 08:00-12:00; PH closed,OpenStreetMap,690500603,2025-07-03T00:06:54.530232,['aluminum'],[],2/5,Scrap Metal Dealer,70,,,,,,
RM Scrap Metal,9703½ Fulton Street,Houston,TX,,,,29.8475352,-95.3789738,recycling,,OpenStreetMap,837883100,2025-07-03T00:06:54.530232,['aluminum'],[],2/5,Scrap Metal Dealer,70,,,,,,
Nichole Scrap Metals,9741 Jensen Drive,Houston,TX,,,,29.852636,-95.3407967,recycling,,OpenStreetMap,875991778,2025-07-03T00:06:54.530232,"['nickel', 'aluminum']",[],2/5,Scrap Metal Dealer,70,,,,,,
Environmental Services Center,11500 South Post Oak Road,Houston,TX,77035,,https://houstontx.gov/solidwaste/esc.html,29.649629,-95.4644,recycling,Tu - We 09:00-15:00; Sa[2] 09:00-13:00,OpenStreetMap,1092144490,2025-07-03T00:06:54.530232,"['aluminum', 'steel']",[],3/5,General Recycling,80,,,,,,
