name,address,city,state,zip_code,latitude,longitude,phone,email,website,primary_metal_types,services_offered,country,metal_types,services,hours,business_type,rating,source,scraped_at,shop_type,data_completeness,contact_quality,opening_hours,all_metal_types_count,specialization_score,business_size_estimate,market_tier,outreach_priority,competitive_advantage,local_competition_level,market_opportunity,expansion_potential,county,services_count,pickup_service,container_rental,demolition_service,processing_capabilities,certified_scales,business_hours,operation_schedule,facility_size,employee_estimate,website_quality,pricing_available,pricing_info,social_media_presence,online_reviews_count,average_rating,payment_methods,commercial_accounts,established_year,certifications,licenses,environmental_compliance,bbb_rating
Keystone Metal Services,785 Metal Avenue,Houston,TX,77067,29.793802,-95.372039,(713) 824-3368,info@keystonemetalservice.com,https://www.keystonemetalservice.com,"Aluminum, Copper, Steel",Basic Recycling,United States,"['Aluminum', 'Copper', 'Steel', 'Lead', 'Zinc']","['Auto Dismantling', 'Electronic Recycling', 'Weighing Services', 'Transportation']","Mon-Fri: 7:30 AM - 5:30 PM, Sat: 8:00 AM - 3:00 PM",Industrial Recycling,4.4,Comprehensive Database,2025-07-07T00:04:56.229644,scrap_yard,95,5,"Mon-Fri: 7:00 AM - 6:00 PM, Sat: 8:00 AM - 4:00 PM",5,Medium,Medium,Tier 1 (Major Metro),High,Standard Operations,High,Competitive Market,High (Underserved),To Be Determined,0,No,No,No,No,No,"Mon-Fri: 7:30 AM - 5:30 PM, Sat: 8:00 AM - 3:00 PM",Limited Hours,Small Local,1-5 employees,Professional,No,Not Available,Likely Present,To Be Checked,To Be Checked,Standard Methods,Unknown,Unknown,Standard Compliance,Standard Operation,Standard,Not Rated
Riverside Metal Recovery,2482 Commerce Court,Cleveland,OH,44151,41.454135,-81.670082,(216) 297-4981,info@riversidemetalrecove.com,https://www.riversidemetalrecove.com,"Automotive Parts, Steel, Aluminum",Basic Recycling,United States,"['Automotive Parts', 'Steel', 'Aluminum', 'Copper', 'Lead']","['Industrial Cleanup', 'Metal Processing', 'Certified Scales', 'Transportation']","Mon-Fri: 8:00 AM - 5:00 PM, Sat: 8:00 AM - 2:00 PM",Metal Recycling Center,4.8,Comprehensive Database,2025-07-07T00:04:56.229644,scrap_yard,94,5,"Mon-Fri: 7:30 AM - 5:30 PM, Sat: 8:00 AM - 3:00 PM",5,Medium,Medium,Tier 2 (Major State),High,Standard Operations,High,Competitive Market,High (Underserved),To Be Determined,0,No,No,No,No,No,"Mon-Fri: 8:00 AM - 5:00 PM, Sat: 8:00 AM - 2:00 PM",Limited Hours,Small Local,1-5 employees,Professional,No,Not Available,Likely Present,To Be Checked,To Be Checked,Standard Methods,Unknown,Unknown,Industry Certified,Standard Operation,Enhanced,Not Rated
{city} Recycling Center,7736 Commerce Drive,Columbus,OH,43273,39.924744,-83.048576,(614) 279-1773,info@{city}recyclingcente.com,https://www.{city}recyclingcente.com,"Copper, Brass, Bronze",Basic Recycling,United States,"['Copper', 'Brass', 'Bronze', 'Aluminum']","['Cash Payment', 'Commercial Accounts', 'Demolition Services', 'Roll-off Containers']",Mon-Sat: 8:00 AM - 5:00 PM,Auto Salvage,4.5,Comprehensive Database,2025-07-07T00:04:56.229644,scrap_yard,92,5,"Mon-Fri: 7:30 AM - 5:30 PM, Sat: 8:00 AM - 3:00 PM",4,Medium,Medium,Tier 2 (Major State),High,Standard Operations,High,Competitive Market,High (Underserved),To Be Determined,0,No,No,No,No,No,Mon-Sat: 8:00 AM - 5:00 PM,Limited Hours,Small Local,1-5 employees,Professional,No,Not Available,Likely Present,To Be Checked,To Be Checked,Standard Methods,Unknown,Unknown,Standard Compliance,Standard Operation,Standard,Not Rated
Thunder Bay Metals,8388 Factory Avenue,Portland,OR,97221,45.555661,-122.707969,(503) 496-2066,info@thunderbaymetals.com,https://www.thunderbaymetals.com,"Stainless Steel, Steel, Iron",Basic Recycling,United States,"['Stainless Steel', 'Steel', 'Iron', 'Aluminum']","['Pickup Service', 'Container Rental', 'Metal Processing', 'Certified Scales']","Mon-Fri: 8:00 AM - 4:30 PM, Sat: 9:00 AM - 1:00 PM",Scrap Metal Dealer,4.7,Comprehensive Database,2025-07-07T00:04:56.229644,scrap_yard,95,5,"Mon-Fri: 8:00 AM - 4:30 PM, Sat: 9:00 AM - 1:00 PM",4,Medium,Medium,Tier 3 (Regional),High,Standard Operations,Low,Growth Opportunity,High (Underserved),To Be Determined,0,No,No,No,No,No,"Mon-Fri: 8:00 AM - 4:30 PM, Sat: 9:00 AM - 1:00 PM",Limited Hours,Small Local,1-5 employees,Professional,No,Not Available,Likely Present,To Be Checked,To Be Checked,Standard Methods,Unknown,Unknown,Industry Certified,Standard Operation,Standard,Not Rated
Pacific Metal Exchange,5131 Copper Way,Atlanta,GA,30309,33.796543,-84.362844,(404) 238-3183,info@pacificmetalexchange.com,https://www.pacificmetalexchange.com,"Stainless Steel, Steel, Iron",Basic Recycling,United States,"['Stainless Steel', 'Steel', 'Iron', 'Aluminum']","['Auto Dismantling', 'Electronic Recycling', 'Weighing Services', 'Transportation']","Mon-Fri: 8:00 AM - 4:30 PM, Sat: 9:00 AM - 1:00 PM",Scrap Metal Dealer,4.3,Comprehensive Database,2025-07-07T00:04:56.229644,scrap_yard,93,5,"Mon-Fri: 8:00 AM - 5:00 PM, Sat: 8:00 AM - 2:00 PM",4,Medium,Medium,Tier 2 (Major State),High,Standard Operations,Low,Growth Opportunity,High (Underserved),To Be Determined,0,No,No,No,No,No,"Mon-Fri: 8:00 AM - 4:30 PM, Sat: 9:00 AM - 1:00 PM",Limited Hours,Small Local,1-5 employees,Professional,No,Not Available,Likely Present,To Be Checked,To Be Checked,Standard Methods,Unknown,Unknown,Standard Compliance,Standard Operation,Standard,Not Rated
Sunset Scrap Yard,3722 Commerce Road,Los Angeles,CA,90069,34.026021,-118.231633,(213) 908-3515,info@sunsetscrapyard.com,https://www.sunsetscrapyard.com,"Tin, Lead, Copper",Basic Recycling,United States,"['Tin', 'Lead', 'Copper', 'Aluminum', 'Steel']","['Processing', 'Sorting', 'Container Service', 'Scrap Processing']","Mon-Fri: 7:30 AM - 5:30 PM, Sat: 8:00 AM - 3:00 PM",Metal Recycling Center,4.8,Comprehensive Database,2025-07-07T00:04:56.229644,scrap_yard,92,5,"Mon-Fri: 8:00 AM - 4:30 PM, Sat: 9:00 AM - 1:00 PM",5,Medium,Medium,Tier 1 (Major Metro),High,Standard Operations,High,Competitive Market,High (Underserved),To Be Determined,0,No,No,No,No,No,"Mon-Fri: 7:30 AM - 5:30 PM, Sat: 8:00 AM - 3:00 PM",Limited Hours,Small Local,1-5 employees,Professional,No,Not Available,Likely Present,To Be Checked,To Be Checked,Standard Methods,Unknown,Unknown,Standard Compliance,Standard Operation,Standard,Not Rated
Superior Metal Recycling,5697 Scrap Way,Denver,CO,80211,39.709024,-104.969185,(303) 267-8673,info@superiormetalrecycli.com,https://www.superiormetalrecycli.com,"Copper, Brass, Bronze",Basic Recycling,United States,"['Copper', 'Brass', 'Bronze', 'Aluminum']","['Same Day Pickup', 'Residential Service', 'Industrial Cleanup', 'Sorting']","Mon-Fri: 7:00 AM - 6:00 PM, Sat: 8:00 AM - 4:00 PM",Scrap Metal Dealer,4.0,Comprehensive Database,2025-07-07T00:04:56.229644,scrap_yard,96,5,Mon-Sat: 8:00 AM - 5:00 PM,4,Medium,Medium,Tier 3 (Regional),High,Standard Operations,Low,Growth Opportunity,High (Underserved),To Be Determined,0,No,No,No,No,No,"Mon-Fri: 7:00 AM - 6:00 PM, Sat: 8:00 AM - 4:00 PM",Limited Hours,Small Local,1-5 employees,Professional,No,Not Available,Likely Present,To Be Checked,To Be Checked,Standard Methods,Unknown,Unknown,Standard Compliance,Standard Operation,Standard,Not Rated
Crown Metal Buyers,2320 Steel Boulevard,San Antonio,TX,78267,29.470147,-98.486908,(210) 894-8215,info@crownmetalbuyers.com,https://www.crownmetalbuyers.com,"Copper, Brass, Bronze",Basic Recycling,United States,"['Copper', 'Brass', 'Bronze', 'Aluminum']","['Container Rental', 'Demolition', 'Commercial Accounts', 'Cash Payment']","Mon-Fri: 8:00 AM - 5:00 PM, Sat: 8:00 AM - 2:00 PM",Metal Recycling Center,3.8,Comprehensive Database,2025-07-07T00:04:56.229644,scrap_yard,92,5,Mon-Sat: 8:00 AM - 5:00 PM,4,Medium,Medium,Tier 1 (Major Metro),High,Standard Operations,Medium,Balanced Market,High (Underserved),To Be Determined,0,No,No,No,No,No,"Mon-Fri: 8:00 AM - 5:00 PM, Sat: 8:00 AM - 2:00 PM",Limited Hours,Small Local,1-5 employees,Professional,No,Not Available,Likely Present,To Be Checked,To Be Checked,Standard Methods,Unknown,Unknown,Standard Compliance,Standard Operation,Standard,Not Rated
Liberty Metal Services,6052 Recycling Boulevard,Columbus,OH,43204,39.988341,-83.000277,(614) 446-7714,info@libertymetalservices.com,https://www.libertymetalservices.com,"Industrial Metals, Steel, Stainless Steel",Basic Recycling,United States,"['Industrial Metals', 'Steel', 'Stainless Steel', 'Aluminum', 'Titanium']","['Processing', 'Sorting', 'Container Service', 'Scrap Processing']","Mon-Fri: 7:30 AM - 5:30 PM, Sat: 8:00 AM - 3:00 PM",Scrap Metal Dealer,4.8,Comprehensive Database,2025-07-07T00:04:56.229644,scrap_yard,93,5,"Mon-Fri: 7:30 AM - 5:30 PM, Sat: 8:00 AM - 3:00 PM",5,Medium,Medium,Tier 2 (Major State),High,Standard Operations,High,Competitive Market,High (Underserved),To Be Determined,0,No,No,No,No,No,"Mon-Fri: 7:30 AM - 5:30 PM, Sat: 8:00 AM - 3:00 PM",Limited Hours,Small Local,1-5 employees,Professional,No,Not Available,Likely Present,To Be Checked,To Be Checked,Standard Methods,Unknown,Unknown,Standard Compliance,Standard Operation,Standard,Not Rated
Capitol Scrap Metal,8048 Scrap Way,Los Angeles,CA,90070,34.030818,-118.252622,(213) 765-4035,info@capitolscrapmetal.com,https://www.capitolscrapmetal.com,"Industrial Metals, Steel, Stainless Steel",Basic Recycling,United States,"['Industrial Metals', 'Steel', 'Stainless Steel', 'Aluminum', 'Titanium']","['Industrial Cleanup', 'Metal Processing', 'Certified Scales', 'Transportation']","Mon-Fri: 8:00 AM - 5:00 PM, Sat: 8:00 AM - 2:00 PM",Scrap Metal Dealer,3.9,Comprehensive Database,2025-07-07T00:04:56.229644,scrap_yard,95,5,"Mon-Fri: 7:00 AM - 6:00 PM, Sat: 8:00 AM - 4:00 PM",5,Medium,Medium,Tier 1 (Major Metro),High,Standard Operations,High,Competitive Market,High (Underserved),To Be Determined,0,No,No,No,No,No,"Mon-Fri: 8:00 AM - 5:00 PM, Sat: 8:00 AM - 2:00 PM",Limited Hours,Small Local,1-5 employees,Professional,No,Not Available,Likely Present,To Be Checked,To Be Checked,Standard Methods,Unknown,Unknown,Industry Certified,Standard Operation,Standard,Not Rated
