name,address,city,state,zip_code,latitude,longitude,phone,website,primary_metal_types,services_offered,shop_type,opening_hours,source,osm_id,scraped_at,all_metal_types_count,specialization_score,business_size_estimate,market_tier,outreach_priority,competitive_advantage,local_competition_level,market_opportunity,expansion_potential,county,services_count,pickup_service,container_rental,demolition_service,processing_capabilities,certified_scales,business_hours,operation_schedule,facility_size,employee_estimate,website_quality,pricing_available,pricing_info,social_media_presence,online_reviews_count,average_rating,payment_methods,commercial_accounts,established_year,certifications,licenses,environmental_compliance,bbb_rating
Irondale,,,,,41.7105906,-87.5521663,,,Unknown,Basic Recycling,,,OpenStreetMap,153523957,2025-07-07T00:12:53.570955,0,Unknown,Small,Tier 3 (Regional),Low,Standard Operations,Low,Growth Opportunity,High (Underserved),To Be Determined,0,No,No,No,No,No,Not Available,Unknown,Small Local,1-5 employees,No Website,No,Not Available,Limited/None,To Be Checked,To Be Checked,Standard Methods,Unknown,Unknown,Standard Compliance,Standard Operation,Standard,Not Rated
Skyscrapers,,,,,41.9748011,-87.8983368,,,Unknown,Basic Recycling,restaurant,,OpenStreetMap,2322673349,2025-07-07T00:12:53.570955,0,Unknown,Small,Tier 3 (Regional),Low,Standard Operations,Low,Growth Opportunity,High (Underserved),To Be Determined,0,No,No,No,No,No,Not Available,Unknown,Small Local,1-5 employees,No Website,No,Not Available,Limited/None,To Be Checked,To Be Checked,Standard Methods,Unknown,Unknown,Standard Compliance,Standard Operation,Standard,Not Rated
Coppervine,1962 North Halsted Street,Chicago,IL,60614,41.9177852,-87.6486715,,,Unknown,Basic Recycling,restaurant,,OpenStreetMap,2624050324,2025-07-07T00:12:53.570955,0,Unknown,Small,Tier 1 (Major Metro),Low,Standard Operations,High,Competitive Market,High (Underserved),To Be Determined,0,No,No,No,No,No,Not Available,Unknown,Small Local,1-5 employees,No Website,No,Not Available,Limited/None,To Be Checked,To Be Checked,Standard Methods,Unknown,Unknown,Standard Compliance,Standard Operation,Standard,Not Rated
Recycling Drop-Off Center,,,,,41.9024101,-87.6552855,,,Unknown,Basic Recycling,recycling,,OpenStreetMap,3992997270,2025-07-07T00:12:53.570955,0,Unknown,Small,Tier 3 (Regional),Low,Standard Operations,Low,Growth Opportunity,High (Underserved),To Be Determined,0,No,No,No,No,No,Not Available,Unknown,Small Local,1-5 employees,No Website,No,Not Available,Limited/None,To Be Checked,To Be Checked,Standard Methods,Unknown,Unknown,Standard Compliance,Standard Operation,Standard,Not Rated
Steel Roots,,,,,41.9261296,-87.6342161,,,Unknown,Basic Recycling,,,OpenStreetMap,4260920142,2025-07-07T00:12:53.570955,0,Unknown,Small,Tier 3 (Regional),Low,Standard Operations,Low,Growth Opportunity,High (Underserved),To Be Determined,0,No,No,No,No,No,Not Available,Unknown,Small Local,1-5 employees,No Website,No,Not Available,Limited/None,To Be Checked,To Be Checked,Standard Methods,Unknown,Unknown,Standard Compliance,Standard Operation,Standard,Not Rated
SteelSeries,656 West Randolph Street,Chicago,IL,60661,41.8848208,-87.645046,,,Unknown,Basic Recycling,,,OpenStreetMap,5144745706,2025-07-07T00:12:53.570955,0,Unknown,Small,Tier 1 (Major Metro),Low,Standard Operations,High,Competitive Market,High (Underserved),To Be Determined,0,No,No,No,No,No,Not Available,Unknown,Small Local,1-5 employees,No Website,No,Not Available,Limited/None,To Be Checked,To Be Checked,Standard Methods,Unknown,Unknown,Standard Compliance,Standard Operation,Standard,Not Rated
35th Street & Iron,,,,,41.8306548,-87.6591583,,,Unknown,Basic Recycling,,,OpenStreetMap,5326036052,2025-07-07T00:12:53.570955,0,Unknown,Small,Tier 3 (Regional),Low,Standard Operations,Low,Growth Opportunity,High (Underserved),To Be Determined,0,No,No,No,No,No,Not Available,Unknown,Small Local,1-5 employees,No Website,No,Not Available,Limited/None,To Be Checked,To Be Checked,Standard Methods,Unknown,Unknown,Standard Compliance,Standard Operation,Standard,Not Rated
Why Not Iron,4425 West Kinzie Street,Chicago,IL,60624,41.8874742,-87.7364806,,https://whynotiron.com/,Unknown,Basic Recycling,,,OpenStreetMap,5379748820,2025-07-07T00:12:53.570955,0,Unknown,Small,Tier 1 (Major Metro),Low,Standard Operations,High,Competitive Market,High (Underserved),To Be Determined,0,No,No,No,No,No,Not Available,Unknown,Small Local,1-5 employees,Professional,No,Not Available,Likely Present,To Be Checked,To Be Checked,Standard Methods,Unknown,Unknown,Standard Compliance,Standard Operation,Standard,Not Rated
Ironside Bar & Galley,546 North Wells Street,Chicago,IL,60654,41.8921561,-87.6342686,+1-312-973-7792,https://ironsidechicago.com/,Unknown,Basic Recycling,restaurant,Mo 16:00-02:00; Tu-Fr 11:30-02:00; Sa-Su 11:00-03:00,OpenStreetMap,5458096799,2025-07-07T00:12:53.570955,0,Unknown,Medium,Tier 1 (Major Metro),Low,Standard Operations,High,Competitive Market,High (Underserved),To Be Determined,0,No,No,No,No,No,Not Available,Unknown,Small Local,1-5 employees,Professional,No,Not Available,Likely Present,To Be Checked,To Be Checked,Standard Methods,Unknown,Unknown,Standard Compliance,Standard Operation,Standard,Not Rated
Ink and Iron Custom Tattoo Studio,3700 North Cicero Avenue,Chicago,IL,60641,41.9480765,-87.7474282,+1-630-270-5330,https://www.inkandironcts.com/,Unknown,Basic Recycling,tattoo,,OpenStreetMap,5918109735,2025-07-07T00:12:53.570955,0,Unknown,Medium,Tier 1 (Major Metro),Low,Standard Operations,High,Competitive Market,High (Underserved),To Be Determined,0,No,No,No,No,No,Not Available,Unknown,Small Local,1-5 employees,Professional,No,Not Available,Likely Present,To Be Checked,To Be Checked,Standard Methods,Unknown,Unknown,Standard Compliance,Standard Operation,Standard,Not Rated
