name,address,city,state,zip_code,country,phone,website,email,latitude,longitude,shop_type,opening_hours,description,recycling_type,recycling_materials,accepts_cash,accepts_cards,wheelchair_access,industrial_use,craft_type,source,osm_id,osm_type,scraped_at,metal_types_detected,services_detected
Skyscrapers,,,,,US,,,,41.9748011,-87.8983368,restaurant,,,,,,,,,,OpenStreetMap Enhanced,2322673349,node,2025-07-07T00:41:42.707156,[],[]
Recycling Drop-Off Center,,,,,US,,,,41.9024101,-87.6552855,recycling,,,,,,,,,,OpenStreetMap Enhanced,3992997270,node,2025-07-07T00:41:42.707156,[],[]
Abitibi Paper Retriever,,,,,US,,,,41.9696743,-87.7740326,recycling,,,container,,,,,,,OpenStreetMap Enhanced,4201176839,node,2025-07-07T00:41:42.707156,[],[]
Clark & Drummond,,,,,US,,,,41.9307693,-87.6440377,waste_disposal,,,,,,,,,,OpenStreetMap Enhanced,4452658759,node,2025-07-07T00:41:42.707156,[],[]
Why Not Iron,4425 West Kinzie Street,Chicago,IL,60624,US,,https://whynotiron.com/,,41.8874742,-87.7364806,,,,,,,,,,metal_construction,OpenStreetMap Enhanced,5379748820,node,2025-07-07T00:41:42.707156,"['steel', 'titanium', 'aluminum']",[]
"Construction Partners, Inc.",,,,,US,,http://cpichicago.com/,,41.805761,-87.8442683,,,,,,,,,,metal_construction,OpenStreetMap Enhanced,9511674224,node,2025-07-07T00:41:42.707156,"['titanium', 'aluminum']",[]
Nick's,,,,,US,,,,41.8058262,-87.8508154,,,,,,,,,,metal_construction,OpenStreetMap Enhanced,9511674228,node,2025-07-07T00:41:42.707156,"['titanium', 'aluminum', 'nickel']",[]
Powder Coating,9436 47th Street,Brookfield,IL,60513,US,,https://www.powdercoatingspecialists.com/,,41.8055234,-87.8563317,,,,,,,,,,metal_construction,OpenStreetMap Enhanced,9511674238,node,2025-07-07T00:41:42.707156,"['titanium', 'aluminum', 'tin']",[]
Lakeshore Recycling,,,,,US,,,,41.8576144,-87.6290066,waste_disposal,,,,,,,,,,OpenStreetMap Enhanced,10831189771,node,2025-07-07T00:41:42.707156,[],[]
flag,,,,,US,,,,42.0136399,-87.7895639,recycling,,,container,,,,,,,OpenStreetMap Enhanced,12068455437,node,2025-07-07T00:41:42.707156,[],[]
The Salvation Army,,,,,US,,,,41.9231104,-87.6679171,recycling,,,container,,,,,,,OpenStreetMap Enhanced,12212653147,node,2025-07-07T00:41:42.707156,"['titanium', 'aluminum']",[]
BigBelly,,,,,US,,,,41.9140512,-87.7050468,recycling,,,container,,,,,,,OpenStreetMap Enhanced,12250753095,node,2025-07-07T00:41:42.707156,[],[]
Park Ridge,,,,,US,,https://www.parkridge.us/sustainability_commission/composting.php,,42.0107341,-87.8321526,recycling,,,container,,,,,,,OpenStreetMap Enhanced,12979120235,node,2025-07-07T00:41:42.708156,[],[]
Household Chemicals & Computer Recycling Facility,1140 North North Branch Street,Chicago,IL,60642,US,,https://www.chicago.gov/city/en/depts/cdph/supp_info/Environment/hccrf.html,,41.9024436,-87.655515,recycling,Tu 07:00-12:00; Th 14:00-19:00; Sa[1] 08:00-15:00,,centre,,,,,,,OpenStreetMap Enhanced,47093790,way,2025-07-07T00:41:42.708156,['aluminum'],[]
Chicago Wire Design Co.,1750 North Kimball Avenue,Chicago,IL,60647,US,,,,41.9133111,-87.7122374,,,,,,,,,,metal_construction,OpenStreetMap Enhanced,163883105,way,2025-07-07T00:41:42.708156,"['titanium', 'aluminum', 'wire']",[]
SIMS Metal Management,2301 South Paulina Street,Chicago,IL,60608,US,,,,41.8501717,-87.6680191,recycling,,,centre,,,,,,,OpenStreetMap Enhanced,209786235,way,2025-07-07T00:41:42.708156,['aluminum'],[]
Republic Recyling Loop Center,2325 South Laflin Street,Chicago,IL,60608,US,,,,41.8493749,-87.6629573,recycling,,,centre,,,,,,,OpenStreetMap Enhanced,209786453,way,2025-07-07T00:41:42.708156,[],[]
Republic Loop Paper Recyling,2411-2427 South Laflin Street,Chicago,IL,60608,US,,,,41.8481619,-87.663044,recycling,,,centre,,,,,,,OpenStreetMap Enhanced,209786543,way,2025-07-07T00:41:42.708156,[],[]
