name,phone,email,website,address,city,state,country,materials_accepted,data_completeness,source,scraped_at
Metal Recycling Los Angeles,(818) 771-0510,info@tmscrapmetals.com,https://www.tmscrapmetals.com/metal-recycling-los-angeles/,11092 Tuxford St<br />Sun Valley,Sun Valley,CA,United States,"['copper', 'aluminum', 'steel', 'iron', 'brass', 'scrap metal']",100,Bing,2025-07-12T01:03:56.754603
SA Recycling Los Angeles 15th St,(213) 747-4281,inquiries.LosAngeles-15th@sarecycling.com,https://www.sarecycling.com/yard/sa-recycling-los-angeles-15th-st/,"2018 yard type-yard status-publish format-standard hentry"">",Los Angeles,CA,United States,"['copper', 'aluminum', 'steel', 'iron', 'brass', 'scrap metal']",100,Bing,2025-07-12T01:03:56.762733
SA Recycling Los Angeles Downtown,(323) 234-1883,inquiries.LosAngeles-Downtown@sarecycling.com,https://www.sarecycling.com/yard/sa-recycling-los-angeles-downtown/,"2006 yard type-yard status-publish format-standard hentry"">",Los Angeles,CA,United States,"['copper', 'aluminum', 'steel', 'iron', 'brass', 'scrap metal']",100,Bing,2025-07-12T01:03:58.117111
Get Paid for Scrap Metal at South Post Oak Recycling Center,(713) 433-9944,info@southpostoakrecycling.com,https://southpostoakrecycling.com/what-we-buy/,"2025 South Post Oak Recycling Center</p></div></div></div><div class=""customify-col-3_md-3_sm-6_xs-12 builder-item builder-first--footer-social-icons""",Houston,TX,United States,"['copper', 'aluminum', 'steel', 'iron', 'brass', 'scrap metal']",100,Bing,2025-07-12T01:04:06.892558
Metal Scrap Containers and Bins,(701) 625-1423,nicholasscrapmetalinc@gmail.com,https://www.nicholasscrapmetal.com/services,1 list-2 list-3 list-4 list-5 list-6 list-7 list-8 list-9}.dmNewParagraph[data-version] ul>li{list-style-type:none;text-indent:-1.5em;margin:0 1em;mar,Philadelphia,PA,United States,"['iron', 'scrap metal']",100,Bing,2025-07-12T01:04:11.032256
AIM Recycling,(646) 679-1082,mymail@mailservice.com,https://www.aimrecyclingco.com/,"3 standard"">",Athens,TX,United States,"['copper', 'aluminum', 'steel', 'iron', 'brass', 'scrap metal']",100,Bing,2025-07-12T01:04:15.354742
"Scrap Metal Prices in Dallas South, Texas Scrap Price Index,United States Scrap Yards",(961) 323-5326,info@scrapmonster.com,https://www.scrapmonster.com/scrap-yards/prices/dallas-south/4329,,,,United States,"['copper', 'aluminum', 'steel', 'iron', 'brass', 'scrap metal']",100,Bing,2025-07-12T01:04:15.670489
EMR Dallas Scrap Metal Junkyard,(214) 421-0247,usainfo@emrgroup.com,https://us.emrlocal.com/yards/emr-dallas-scrap-metal,"4305 Botham Jean Blvd""",,,United States,"['copper', 'aluminum', 'steel', 'iron', 'brass', 'scrap metal']",100,Bing,2025-07-12T01:04:16.291954
SA Recycling Dallas,(214) 946-2267,inquiries.Dallas-CentralExpressway@sarecycling.com,https://www.sarecycling.com/yard/sa-recycling-dallas/,"6593 yard type-yard status-publish format-standard hentry"">",Dallas,TX,United States,"['copper', 'aluminum', 'steel', 'iron', 'brass', 'scrap metal']",100,Bing,2025-07-12T01:04:16.346339
Metal Recycling,(904) 358-2460,bobigordon.qsr@gmail.com,https://www.quickstopmetalrecycling.com/,"603 E 8th St""",Jacksonville,FL,United States,"['copper', 'aluminum', 'steel', 'brass', 'scrap metal']",100,Bing,2025-07-12T01:04:22.000437
Seguin,(830) 372-8550,myCMC-logo@2x.png,https://www.cmcrecycling.com/locations/seguin,"100 list-unstyled d-flex justify-content-end align-items-center overflow-hidden"">",,TX,United States,"['copper', 'aluminum', 'steel', 'iron', 'brass', 'scrap metal']",100,Bing,2025-07-12T01:04:22.022607
Jacksonville,(904) 786-2771,myCMC-logo@2x.png,https://www.cmcrecycling.com/locations/jacksonville,"100 list-unstyled d-flex justify-content-end align-items-center overflow-hidden"">",,FL,United States,"['copper', 'aluminum', 'steel', 'iron', 'brass', 'scrap metal']",100,Bing,2025-07-12T01:04:22.613021
"ᐉ Scrap Metal Yards and Dealers in Columbus – Prices, Locations",(614) 443-0909,admin-contacted@proton.me,https://metalrecap.com/columbus-oh/,"3325 N High St""",,,United States,"['copper', 'aluminum', 'steel', 'iron', 'brass', 'scrap metal']",100,Bing,2025-07-12T01:04:29.410994
"Junk Removal Services in Jacksonville, FL",(904) 474-5767,vue@3.5.13.vue.global.prod.js||,https://www.junk-king.com/locations/jacksonville,"2727 Clydo Rd Unit 6""></meta><meta itemprop=""addressLocality"" content=""Jacksonville""></meta><meta itemprop=""addressRegion"" content=""FL""></meta><meta i",,,United States,"['copper', 'aluminum', 'steel', 'iron', 'brass', 'scrap metal']",100,Bing,2025-07-12T01:04:30.291867
Cash For Metal Scraps,(614) 443-5196,info@aceiron.net,https://www.aceironrecycling.com/recycle-scrap-metal-in-Columbus-Ohio,"3 standard"">",Columbus,OH,United States,"['copper', 'aluminum', 'steel', 'iron', 'brass', 'scrap metal']",100,Bing,2025-07-12T01:04:33.778847
Ohio Copper Wire Buyer,(713) 724-8499,info@internationalrec.com,https://www.internationalrec.com/ohio-copper-wire-buyer/,"12412 Market st Rd </br>",,TX,United States,"['copper', 'aluminum', 'steel', 'brass', 'scrap metal']",100,Bing,2025-07-12T01:04:34.620024
ABC Auto Parts,(415) 826-8676,sales@abcautoparts.com,https://www.scrapmonster.com/scrap-yard/abc-auto-parts/53005,1650 Davidson Ave,,,United States,"['copper', 'aluminum', 'steel', 'brass', 'scrap metal']",100,Bing,2025-07-12T01:04:36.993551
