name,website,street_address,city,region,postal_code,country,phones,emails,whatsapp,social_links,opening_hours,materials,material_prices,description
Tapatio Auto and Truck Recycling -,https://www.tapatioauto.com/about-us/,1851 Nirvana Ave,Chu,LA,,United States,['(800) 388-9134'],[],[],[],,"['Auto Parts', 'Iron', 'Lead']",[],"Tapatio Auto & Truck Recycling is a leading family owned in San Diego California, environmentally responsible, with national distribution capability."
BLOG,https://www.ranchtownrecycling.com/blog,775 Lincoln Ave,San Jose,CA,95126,United States,['(408) 292-3333'],[],[],[],,"['Copper', 'Brass', 'Steel', 'Aluminum', 'Stainless Steel', 'Lead']",[],"Ranch Town Metal Recycling offers comprehensive traditional and e-recycling services in and around San Jose, Santa Clara and Milpitas."
PRICES,https://www.santanarecycling.com/,1560 Grand Ave,Sacramento,CA,95838,United States,['(916) 856-4734'],[],[],[],,"['Aluminum', 'Scrap Metal']",[],
Champion,https://www.lvscrap.com/,,,,,United States,['(702) 648-4884'],[],[],[],,"['Aluminum', 'Copper', 'Brass', 'Steel']",[],
Scrap Metal Recycling and Metal Trading Services,https://www.candmmetalrecyclinglosangeles.com/,1709 E 24th St,Los Angeles,CA,90058,United States,[],['sales@cmmetals.net'],[],[],,['Scrap Metal'],[],"We&#x27;re a locally-owned and operated scrap metal recycling company with 3 generations of experience. We&#x2019;re the solution for your scrap metal, paper, and cardboard recycling. We supply dumpster, industrial clean up, and certified tear down services."
Sell Your Scrap Metal,https://www.nxtsteprecycling.com/sell-to-us,"3 Certification
  

Button






    

  HIPAA Compliant
  

Button






    

  GLBA COMPLIANT
  

Button



















   
      Take the Next Step IN Secure Metal Recycling


 We make e-wast",e dispos,AL,,United States,"['(408) 896-6200', '(692) 934-6918']",[],[],[],,"['Battery', 'Copper', 'Appliance', 'Brass', 'Steel', 'Aluminum', 'Iron', 'Scrap Metal']",[],"Turn your scrap metal into cash with NXT Step. We offer fast, eco-friendly scrap metal recycling in San Jose, CA with pickup, drop-off, and quick payments."
Junkyards in California,https://junkyardsnearme.net/junkyards-california/,9365 Glenoaks Blvd,Sun Valley,CA,91352,United States,[],[],[],[],,"['Battery', 'Auto Parts', 'Steel', 'Iron', 'Scrap Metal', 'Lead']",[],Click here to find Junkyards in California. Use our CA find to locate the best yards in the state. You can get a free...
Metal Recycling in San Diego,https://industrialscrapmetal.com/california/san-diego-metal-recycling/,"200 years later.










Areas We Serve For Metal Recycling in California

ActonAdelantoAgouraAgoura HillsAgua DulceAlhambraAliso ViejoAlondra ParkAlpineAltadenaAnaheimAnzaApple ValleyArcadiaArlanzaArtesiaAtwaterAvalonAvocado HeightsAzusaBaldwin ParkBandiniBanningBarstowBarstow HeightsBeaumontBellBell GardensBellflowerBelvedereBermuda DunesBeverly HillsBig Bear CityBig Bear LakeBig RiverBloomingtonBlytheBonitaBonsallBorrego SpringsBostoniaBoyle HeightsBrandeisBreaBrentwoodBuelltonBuena ParkBurbankCabazonCalabasasCalimesaCamarilloCameron CornersCamp Pendleton NorthCamp Pendleton SouthCampoCanoga ParkCanyon CountryCanyon LakeCardiff-by-the-SeaCarlsbadCarmel ValleyCarpinteriaCarsonCasa ConejoCasa de Oro-Mount HelixCastaicCathedral CityCentury CityCerritosChannel Islands BeachCharter OakChatsworthCherry ValleyChinoChino HillsChula VistaCitrusClaremontCoachellaColtonCommerceComptonCoronaCoronadoCosta MesaCoto De CazaCovinaCowan HeightsCrestCrestlineCudahyCulver CityCypressDana PointDeclezvilleDel AireDel MarDel ReyDescansoDesert EdgeDesert Hot SpringsDesert View HighlandsDiamond BarDove CanyonDowneyDuarteEagle RockEast HemetEast IrvineEast La MiradaEast Los AngelesEast PasadenaEast Rancho DominguezEast San GabrielEast WhittierEastvaleEcho ParkEdenEl CajonEl Cerrito CoronaEl MonteEl RioEl SegundoEl SerenoEncinitasEncinoEscondidoEucalyptus HillsFairbanks RanchFairviewFallbrookFillmoreFlorence-GrahamFontanaFoothill RanchForest FallsFort IrwinFountain ValleyFremontFrench ValleyFullertonGarden GroveGardenaGarnetGlen AvonGlendaleGlendoraGoletaGood HopeGrand TerraceGranite HillsGrapelandGreen AcresGuadalupeHacienda HeightsHarbison CanyonHawaiian GardensHawthorneHelendaleHemetHermosa BeachHesperiaHi VistaHidden HillsHidden MeadowsHighgroveHighlandHighland ParkHillgroveHinkleyHollywoodHome GardensHomelandHope RanchHuntington BeachHuntington ParkIdyllwildIdyllwild-Pine CoveImperial BeachIndian WellsIndioInglewoodIrvineIrwindaleIsla VistaJamulJoshua TreeJurupa ValleyKoreatownKramer Junct",ion,LA,,United States,[],['billy@warank.com'],[],[],,"['Battery', 'Copper', 'Brass', 'Steel', 'Aluminum', 'Iron', 'Scrap Metal', 'Lead', 'Zinc']",[],"Metal Recycling in San Diego, CA by Industrial Scrap Metal Recycling company. We recycle all types of metal like Alloy Steel, Aluminum, Appliances recycling, Automobile Batteries, and Brass in San Diego, CA, etc."
"West Side Metal Recycling - Scrap Metal Recycling, Liquidations, Metal Recycling Center",http://www.wsrecycling.com/,6449 San Fernando Rd.,Glendale,CA,91201,United States,[],"['info@wsrecycling.com', 'mario@wsrecycling.com']",[],[],,"['Scrap Metal', 'Electronic']",[],"All purpose scrap metal recycling company. We also handle business customers, liquidations, excess inventory, facility cleanouts, etc. Call us today"
SA Recycling Tucson Miracle Mile,https://www.sarecycling.com/yard/sa-recycling-tucson-miracle-mile/,1525 West,Miracle Mile Tucson,AZ,85705,United States,"['(800) 468-7272', '(520) 622-7416']",['inquiries.tucson-miraclemile@sarecycling.com'],[],[],,"['Copper', 'Appliance', 'Brass', 'Steel', 'Aluminum', 'Iron', 'Stainless Steel', 'Scrap Metal', 'Lead', 'Zinc']",[],
